	kode_provinsi	nama_provinsi	kode_kabkota	nama_kabkota	tahun	persen_kelahiran
2184	82	Prov. Maluku Utara	8202	Kab. Halmahera Tengah	2009	5.5
2189	82	Prov. Maluku Utara	8203	Kab. Kepulauan Sula	2009	0.0
2194	82	Prov. Maluku Utara	8204	Kab. Halmahera Selatan	2009	31.2
2199	82	Prov. Maluku Utara	8205	Kab. Halmahera Utara	2009	44.65
2204	82	Prov. Maluku Utara	8206	Kab. Halmahera Timur	2009	17.47
2209	82	Prov. Maluku Utara	8271	Kota Ternate	2009	71.58
2214	82	Prov. Maluku Utara	8272	Kota Tidore Kepulauan	2009	33.14
2219	91	Prov. Papua Barat	9101	Kab. Fakfak	2009	50.29
2224	91	Prov. Papua Barat	9102	Kab. Kaimana	2009	48.0
2229	91	Prov. Papua Barat	9103	Kab. Teluk Wondama	2009	51.28
2234	91	Prov. Papua Barat	9104	Kab. Teluk Bintuni	2009	29.08
2239	91	Prov. Papua Barat	9105	Kab. Manokwari	2009	45.59
2244	91	Prov. Papua Barat	9106	Kab. Sorong Selatan	2009	38.79
2249	91	Prov. Papua Barat	9107	Kab. Sorong	2009	15.35
2254	91	Prov. Papua Barat	9108	Kab. Raja Ampat	2009	0.0
2259	91	Prov. Papua Barat	9171	Kota Sorong	2009	37.66
2264	94	Prov. Papua	9401	Kab. Merauke	2009	26.65
2269	94	Prov. Papua	9402	Kab. Jayawijaya	2009	6.01
2274	94	Prov. Papua	9403	Kab. Jayapura	2009	37.28
2279	94	Prov. Papua	9404	Kab. Nabire	2009	65.18
2284	94	Prov. Papua	9405		2009	0.0
2289	94	Prov. Papua	9408	Kab. Yapen Waropen	2009	29.21
2294	94	Prov. Papua	9409	Kab. Biak Numfor	2009	17.78
2299	94	Prov. Papua	9410	Kab. Paniai	2009	9.26
2304	94	Prov. Papua	9411	Kab. Puncak Jaya	2009	6.65
2309	94	Prov. Papua	9412	Kab. Mimika	2009	53.1
2314	94	Prov. Papua	9413	Kab. Boven Digoel	2009	25.95
2319	94	Prov. Papua	9414	Kab. Mappi	2009	11.1
2324	94	Prov. Papua	9415	Kab. Asmat	2009	19.3
2329	94	Prov. Papua	9416	Kab. Yahukimo	2009	0.0
2334	94	Prov. Papua	9417	Kab. Pegunungan Bintang	2009	18.42
2339	94	Prov. Papua	9418	Kab. Tolikara	2009	6.52
2344	94	Prov. Papua	9419	Kab. Sarmi	2009	33.33
2349	94	Prov. Papua	9420	Kab. Keerom	2009	50.03
2354	94	Prov. Papua	9421		2009	0.0
2359	94	Prov. Papua	9426	Kab. Waropen	2009	22.69
2364	94	Prov. Papua	9427	Kab. Supiori	2009	34.91
2369	94	Prov. Papua	9428	Kab. Mamberamo Raya	2009	0.0
2374	94	Prov. Papua	9429	Kab. Nduga	2009	2.48
2379	94	Prov. Papua	9430	Kab. Lanny Jaya	2009	0.0
2384	94	Prov. Papua	9431	Kab. Mamberamo Tengah	2009	0.0
2389	94	Prov. Papua	9432	Kab. Yalimo	2009	14.7
2394	94	Prov. Papua	9433	Kab. Puncak	2009	18.68
2399	94	Prov. Papua	9434	Kab. Dogiyai	2009	0.0
2404	94	Prov. Papua	9471	Kota Jayapura	2009	95.89
2409	94	Prov. Papua	9472		2009	0.0
